State,District,Date,Year,Month,Avg_rainfall,Agency_name
Assam,Jorhat,2018-09-19,2018,09,0.006384492,"NRSC VIC MODEL"
Assam,Jorhat,2018-09-27,2018,09,1.49073445,"NRSC VIC MODEL"
Assam,Jorhat,2018-09-30,2018,09,0.066992825,"NRSC VIC MODEL"
Assam,Jorhat,2018-10-05,2018,10,8.296247793,"NRSC VIC MODEL"
Assam,Jorhat,2018-10-07,2018,10,4.163471801,"NRSC VIC MODEL"
Assam,Jorhat,2018-10-11,2018,10,4.188123032,"NRSC VIC MODEL"
Assam,Jorhat,2018-10-13,2018,10,1.431766576,"NRSC VIC MODEL"
Assam,Jorhat,2018-10-08,2018,10,0.874660569,"NRSC VIC MODEL"
Assam,Jorhat,2018-10-16,2018,10,0,"NRSC VIC MODEL"
Assam,Jorhat,2018-10-21,2018,10,0,"NRSC VIC MODEL"
Assam,Jorhat,2018-10-27,2018,10,0,"NRSC VIC MODEL"
Assam,Jorhat,2018-11-01,2018,11,0,"NRSC VIC MODEL"
Assam,Jorhat,2018-11-09,2018,11,0,"NRSC VIC MODEL"
Assam,Jorhat,2018-11-07,2018,11,0,"NRSC VIC MODEL"
Assam,Jorhat,2018-11-10,2018,11,0,"NRSC VIC MODEL"
Assam,Jorhat,2018-11-14,2018,11,3.568132739,"NRSC VIC MODEL"
Assam,Jorhat,2018-11-17,2018,11,2.360828334,"NRSC VIC MODEL"
Assam,Jorhat,2018-11-22,2018,11,0,"NRSC VIC MODEL"
Assam,Jorhat,2018-11-23,2018,11,0,"NRSC VIC MODEL"
Assam,Jorhat,2018-11-21,2018,11,0,"NRSC VIC MODEL"
Assam,Jorhat,2018-11-25,2018,11,0,"NRSC VIC MODEL"
Assam,Jorhat,2018-12-14,2018,12,0,"NRSC VIC MODEL"
Assam,Jorhat,2018-12-22,2018,12,0,"NRSC VIC MODEL"
Assam,Jorhat,2018-12-29,2018,12,0.009458506,"NRSC VIC MODEL"
Assam,Kamrup,2018-07-29,2018,07,10.39682292,"NRSC VIC MODEL"
Assam,Kamrup,2018-07-30,2018,07,10.48809241,"NRSC VIC MODEL"
Assam,Kamrup,2018-07-31,2018,07,21.72047722,"NRSC VIC MODEL"
Assam,Kamrup,2018-08-04,2018,08,10.05702355,"NRSC VIC MODEL"
Assam,Kamrup,2018-08-14,2018,08,13.87972426,"NRSC VIC MODEL"
Assam,Kamrup,2018-08-18,2018,08,0.055586247,"NRSC VIC MODEL"
Assam,Kamrup,2018-08-17,2018,08,6.351057519,"NRSC VIC MODEL"
Assam,Kamrup,2018-08-24,2018,08,15.69500264,"NRSC VIC MODEL"
Assam,Kamrup,2018-08-25,2018,08,20.7677364,"NRSC VIC MODEL"
Assam,Kamrup,2018-08-30,2018,08,7.284090808,"NRSC VIC MODEL"
Assam,Kamrup,2018-09-01,2018,09,9.228783136,"NRSC VIC MODEL"
Assam,Kamrup,2018-09-02,2018,09,21.43637072,"NRSC VIC MODEL"
Assam,Kamrup,2018-09-09,2018,09,14.42564412,"NRSC VIC MODEL"
Assam,Kamrup,2018-09-11,2018,09,54.38361725,"NRSC VIC MODEL"
"Arunachal Pradesh","Papum Pare",2018-09-16,2018,09,0,"NRSC VIC MODEL"
"Arunachal Pradesh","Papum Pare",2018-09-20,2018,09,1.223649586,"NRSC VIC MODEL"
"Arunachal Pradesh","Papum Pare",2018-09-21,2018,09,0.152877607,"NRSC VIC MODEL"
"Arunachal Pradesh","Papum Pare",2018-09-28,2018,09,0.86006686,"NRSC VIC MODEL"
"Arunachal Pradesh","Papum Pare",2018-09-30,2018,09,0.858745725,"NRSC VIC MODEL"
"Arunachal Pradesh","Papum Pare",2018-10-14,2018,10,4.078439326,"NRSC VIC MODEL"
"Arunachal Pradesh","Papum Pare",2018-10-15,2018,10,0.66416482,"NRSC VIC MODEL"
"Arunachal Pradesh","Papum Pare",2018-10-17,2018,10,0,"NRSC VIC MODEL"
"Arunachal Pradesh","Papum Pare",2018-10-21,2018,10,0,"NRSC VIC MODEL"
